Step,X,Y,Z
8100,2,-6.59235e+06,1.33267e+06,0
8160,0,1105.3,7.99329,0
8160,1,3.8431e+08,8.33989e+06,0
8160,2,-6.66834e+06,876430,0
8220,0,1121.61,8.17088,0
8220,1,3.84309e+08,8.4012e+06,0
8220,2,-6.7129e+06,416055,0
8280,0,1138.05,8.35109,0
8280,1,3.84308e+08,8.4625e+06,0
8280,2,-6.72582e+06,-46279.4,0
8340,0,1154.59,8.53393,0
8340,1,3.84306e+08,8.52381e+06,0
8340,2,-6.70705e+06,-508396,0
8400,0,1171.26,8.71942,0
8400,1,3.84305e+08,8.58511e+06,0
8400,2,-6.65667e+06,-968118,0
8460,0,1188.05,8.90758,0
8460,1,3.84303e+08,8.64642e+06,0
8460,2,-6.57494e+06,-1.42328e+06,0
8520,0,1204.96,9.09842,0
8520,1,3.84302e+08,8.70772e+06,0
8520,2,-6.46224e+06,-1.87174e+06,0
8580,0,1221.99,9.29197,0
8580,1,3.84301e+08,8.76903e+06,0
8580,2,-6.31911e+06,-2.31139e+06,0
8640,0,1239.13,9.48825,0
8640,1,3.84299e+08,8.83033e+06,0
8640,2,-6.14624e+06,-2.74016e+06,0
8700,0,1256.4,9.68727,0
8700,1,3.84298e+08,8.89163e+06,0
8700,2,-5.94444e+06,-3.15604e+06,0
8760,0,1273.79,9.88906,0
8760,1,3.84296e+08,8.95294e+06,0
8760,2,-5.71469e+06,-3.55708e+06,0
8820,0,1291.29,10.0936,0
8820,1,3.84295e+08,9.01424e+06,0
8820,2,-5.45807e+06,-3.94139e+06,0
8880,0,1308.92,10.301,0
8880,1,3.84294e+08,9.07554e+06,0
8880,2,-5.17579e+06,-4.30719e+06,0
8940,0,1326.66,10.5112,0
8940,1,3.84292e+08,9.13685e+06,0
8940,2,-4.86921e+06,-4.65277e+06,0
9000,0,1344.52,10.7242,0
9000,1,3.84291e+08,9.19815e+06,0
9000,2,-4.53977e+06,-4.9765e+06,0
9060,0,1362.51,10.9401,0
9060,1,3.84289e+08,9.25945e+06,0
9060,2,-4.18902e+06,-5.2769e+06,0
9120,0,1380.61,11.1589,0
9120,1,3.84288e+08,9.32076e+06,0
9120,2,-3.81863e+06,-5.55255e+06,0
9180,0,1398.83,11.3805,0
9180,1,3.84286e+08,9.38206e+06,0
9180,2,-3.43034e+06,-5.80219e+06,0
9240,0,1417.17,11.6051,0
9240,1,3.84285e+08,9.44336e+06,0
9240,2,-3.02598e+06,-6.02466e+06,0
9300,0,1435.63,11.8326,0
9300,1,3.84283e+08,9.50466e+06,0
9300,2,-2.60745e+06,-6.21894e+06,0
9360,0,1454.21,12.0631,0
9360,1,3.84282e+08,9.56596e+06,0
9360,2,-2.17673e+06,-6.38413e+06,0
9420,0,1472.91,12.2965,0
9420,1,3.8428e+08,9.62726e+06,0
9420,2,-1.73582e+06,-6.51949e+06,0
9480,0,1491.73,12.533,0
9480,1,3.84279e+08,9.68856e+06,0
9480,2,-1.2868e+06,-6.62441e+06,0
9540,0,1510.67,12.7724,0
9540,1,3.84277e+08,9.74986e+06,0
9540,2,-831770,-6.69841e+06,0
9600,0,1529.73,13.0149,0
9600,1,3.84276e+08,9.81116e+06,0
9600,2,-372852,-6.74117e+06,0
9660,0,1548.9,13.2604,0
9660,1,3.84274e+08,9.87246e+06,0
9660,2,87812,-6.75251e+06,0
9720,0,1568.2,13.509,0
9720,1,3.84273e+08,9.93376e+06,0
9720,2,548074,-6.7324e+06,0
9780,0,1587.62,13.7607,0
9780,1,3.84271e+08,9.99506e+06,0
9780,2,1.00579e+06,-6.68096e+06,0
9840,0,1607.15,14.0155,0
9840,1,3.84269e+08,1.00564e+07,0
9840,2,1.45884e+06,-6.59844e+06,0
9900,0,1626.81,14.2734,0
9900,1,3.84268e+08,1.01177e+07,0
9900,2,1.90512e+06,-6.48524e+06,0
9960,0,1646.58,14.5345,0
9960,1,3.84266e+08,1.0179e+07,0
9960,2,2.34255e+06,-6.34192e+06,0
10020,0,1666.48,14.7987,0
10020,1,3.84265e+08,1.02403e+07,0
10020,2,2.76911e+06,-6.16916e+06,0
10080,0,1686.49,15.0661,0
10080,1,3.84263e+08,1.03016e+07,0
10080,2,3.18284e+06,-5.96776e+06,0
10140,0,1706.62,15.3367,0
10140,1,3.84261e+08,1.03629e+07,0
10140,2,3.58181e+06,-5.73869e+06,0
10200,0,1726.87,15.6105,0
10200,1,3.8426e+08,1.04242e+07,0
10200,2,3.96418e+06,-5.48302e+06,0
10260,0,1747.25,15.8876,0
10260,1,3.84258e+08,1.04855e+07,0
10260,2,4.3282e+06,-5.20195e+06,0
10320,0,1767.74,16.1679,0
10320,1,3.84256e+08,1.05467e+07,0
10320,2,4.67218e+06,-4.89679e+06,0
10380,0,1788.35,16.4515,0
10380,1,3.84255e+08,1.0608e+07,0
10380,2,4.99454e+06,-4.56896e+06,0
10440,0,1809.08,16.7385,0
10440,1,3.84253e+08,1.06693e+07,0
10440,2,5.2938e+06,-4.21998e+06,0
10500,0,1829.93,17.0287,0
10500,1,3.84251e+08,1.07306e+07,0
10500,2,5.56859e+06,-3.85149e+06,0
10560,0,1850.89,17.3222,0
10560,1,3.8425e+08,1.07919e+07,0
10560,2,5.81763e+06,-3.46519e+06,0
10620,0,1871.98,17.6191,0
10620,1,3.84248e+08,1.08532e+07,0
10620,2,6.03978e+06,-3.06287e+06,0
10680,0,1893.19,17.9194,0
10680,1,3.84246e+08,1.09145e+07,0
10680,2,6.23403e+06,-2.64639e+06,0
10740,0,1914.52,18.2231,0
10740,1,3.84244e+08,1.09758e+07,0
10740,2,6.39948e+06,-2.21768e+06,0
10800,0,1935.96,18.5302,0
10800,1,3.84243e+08,1.10371e+07,0
10800,2,6.53536e+06,-1.77872e+06,0
10860,0,1957.53,18.8407,0
10860,1,3.84241e+08,1.10984e+07,0
10860,2,6.64107e+06,-1.33155e+06,0
10920,0,1979.22,19.1547,0
10920,1,3.84239e+08,1.11597e+07,0
10920,2,6.7161e+06,-878222,0
10980,0,2001.02,19.4721,0
10980,1,3.84237e+08,1.1221e+07,0
10980,2,6.76011e+06,-420838,0
11040,0,2022.95,19.793,0
11040,1,3.84236e+08,1.12823e+07,0
11040,2,6.77289e+06,38489.4,0
11100,0,2044.99,20.1175,0
11100,1,3.84234e+08,1.13436e+07,0
11100,2,6.75439e+06,497640,0
11160,0,2067.15,20.4454,0
11160,1,3.84232e+08,1.14049e+07,0
11160,2,6.70469e+06,954490,0
11220,0,2089.43,20.7769,0
11220,1,3.8423e+08,1.14662e+07,0
11220,2,6.624e+06,1.40693e+06,0
11280,0,2111.84,21.112,0
11280,1,3.84228e+08,1.15275e+07,0
11280,2,6.5127e+06,1.85286e+06,0
11340,0,2134.36,21.4506,0
11340,1,3.84227e+08,1.15888e+07,0
11340,2,6.37129e+06,2.29023e+06,0
11400,0,2157,21.7929,0
11400,1,3.84225e+08,1.16501e+07,0
11400,2,6.20042e+06,2.717e+06,0
11460,0,2179.76,22.1388,0
11460,1,3.84223e+08,1.17113e+07,0
11460,2,6.00086e+06,3.1312e+06,0
11520,0,2202.64,22.4883,0
11520,1,3.84221e+08,1.17726e+07,0
11520,2,5.77354e+06,3.5309e+06,0
11580,0,2225.64,22.8414,0
11580,1,3.84219e+08,1.18339e+07,0
11580,2,5.51948e+06,3.91425e+06,0
11640,0,2248.76,23.1983,0
11640,1,3.84217e+08,1.18952e+07,0
11640,2,5.23986e+06,4.27946e+06,0
